本当に裏切ったんですか！,ｵﾝﾄﾞｩﾙﾙﾗｷﾞｯﾀﾝﾃﾞｨｽｶｰ!
俺の体はボロボロだ！,ｵﾃﾞﾉｶﾗﾀﾞﾊﾎﾞﾄﾞﾎﾞﾄﾞﾀﾞ!
俺は貴様をぶっ殺す！,ｵﾚｧｸｻﾑｦﾑｯｺﾛｽ!
嘘だそんなことー！,ｳｿﾞﾀﾞﾄﾞﾝﾄﾞｺﾄﾞｰﾝ!
まーた間違いじゃないのー？,ﾜｰﾁｮﾏｰﾁｮﾏﾁｮﾅﾁｮﾉｰﾝ?
追っかけて、睦月ー!,ｵｯﾍﾟｹﾃﾝﾑｯｷｰ!
カテゴリーエースは俺のものだ!,ﾆｺﾞﾘｴｰｽﾊｵﾚﾉﾓﾉﾀﾞｰ！
そいつは渡さん!,ﾊﾟﾝﾂﾊﾜﾀｻﾝ!
人をおちょくってるとぶっとばすぞ,ヒドォオチョグテルトヴットバスゾ
俺は今無性に腹が立っている,オレハイバムショウニバラガダッデイル
お前に裏切られた気分だ,アンダニルラギラレタギブンダァッ
あんたと俺は仲間じゃなかったん…ぐぇ,アンダドーゥレハ!アカマジャナカッタンテェ゛…ウェ!
誰がそんなこと言った,ダデガドンドコドイッダ
どうして分かってくれないんだ,ドゥーシテワガッテクレナインダァ
時間がないと言ってるだろう,シガンガナリタッルルラロー
お前は手を出すな,バヤデオスダ
なにを言ってるんだ,ナニイテンダ
俺と一緒に戦ってくれるんうぅえ,オ゛レトイショニタタカッテクレルンウゥエ
聞いてたんでしょ,キィダッダンゼショ
子供の頃からヒーローに憧れてた,コロモノコロカラヒーローニアコガレチタ
所長も治るっていってたじゃない,ジョチョウモナルッテイッテタジャナイ
そんな…はぁ…ふぇ…そんなぁ、うぇぇ,ゾンナァハァヘェ・・・ソンナァハァウェェ
何故そんな事,ナヅェドンドコドコ
